metric,geography,as_of_date,value,unit,source_url
Personal Residential Multiperil total exposure,"Miami-Dade County, FL",2023-12-31,54428136320,USD,https://www.citizensfla.com/documents/20702/29445098/20231231+Detail+By+County.pdf/0736109d-5343-ae7e-322a-59ad72f083cb
Personal Residential Multiperil total premium,"Miami-Dade County, FL",2023-12-31,660519632,USD,https://www.citizensfla.com/documents/20702/29445098/20231231+Detail+By+County.pdf/0736109d-5343-ae7e-322a-59ad72f083cb
Personal Residential Wind-Only building count,"Miami-Dade County, FL",2023-12-31,21317,buildings,https://www.citizensfla.com/documents/20702/29445098/20231231+Detail+By+County.pdf/0736109d-5343-ae7e-322a-59ad72f083cb
Personal Residential Wind-Only policies in force,"Miami-Dade County, FL",2023-12-31,21317,policies,https://www.citizensfla.com/documents/20702/29445098/20231231+Detail+By+County.pdf/0736109d-5343-ae7e-322a-59ad72f083cb
Personal Residential Wind-Only total exposure,"Miami-Dade County, FL",2023-12-31,11809362315,USD,https://www.citizensfla.com/documents/20702/29445098/20231231+Detail+By+County.pdf/0736109d-5343-ae7e-322a-59ad72f083cb
Personal Residential Wind-Only total premium,"Miami-Dade County, FL",2023-12-31,76843016,USD,https://www.citizensfla.com/documents/20702/29445098/20231231+Detail+By+County.pdf/0736109d-5343-ae7e-322a-59ad72f083cb
Personal residential total policies in force (multiperil + wind-only),"Miami-Dade County, FL",2023-12-31,206531,policies,https://www.citizensfla.com/documents/20702/29445098/20231231+Detail+By+County.pdf/0736109d-5343-ae7e-322a-59ad72f083cb
Total building count (all lines),"Miami-Dade County, FL",2023-12-31,214064,buildings,https://www.citizensfla.com/documents/20702/29445098/20231231+Detail+By+County.pdf/0736109d-5343-ae7e-322a-59ad72f083cb
Total insured value / exposure (all lines),"Miami-Dade County, FL",2023-12-31,94973036422,USD,https://www.citizensfla.com/documents/20702/29445098/20231231+Detail+By+County.pdf/0736109d-5343-ae7e-322a-59ad72f083cb
Total policies in force (all lines),"Miami-Dade County, FL",2023-12-31,210019,policies,https://www.citizensfla.com/documents/20702/29445098/20231231+Detail+By+County.pdf/0736109d-5343-ae7e-322a-59ad72f083cb
Total premium (all lines),"Miami-Dade County, FL",2023-12-31,1002651350,USD,https://www.citizensfla.com/documents/20702/29445098/20231231+Detail+By+County.pdf/0736109d-5343-ae7e-322a-59ad72f083cb
Commercial Non-Residential Multiperil building count,"Miami-Dade County, FL",2024-12-31,483,buildings,https://www.citizensfla.com/documents/20702/30188280/20241231+Detail+by+County.pdf/7d7859c2-18a1-abf0-6a7e-b0dbdf9dfe8b
Commercial Non-Residential Multiperil policies in force,"Miami-Dade County, FL",2024-12-31,422,policies,https://www.citizensfla.com/documents/20702/30188280/20241231+Detail+by+County.pdf/7d7859c2-18a1-abf0-6a7e-b0dbdf9dfe8b
Commercial Non-Residential Multiperil total exposure,"Miami-Dade County, FL",2024-12-31,383447363,USD,https://www.citizensfla.com/documents/20702/30188280/20241231+Detail+by+County.pdf/7d7859c2-18a1-abf0-6a7e-b0dbdf9dfe8b
Commercial Non-Residential Multiperil total premium,"Miami-Dade County, FL",2024-12-31,4787772,USD,https://www.citizensfla.com/documents/20702/30188280/20241231+Detail+by+County.pdf/7d7859c2-18a1-abf0-6a7e-b0dbdf9dfe8b
Commercial Non-Residential Wind-Only building count,"Miami-Dade County, FL",2024-12-31,786,buildings,https://www.citizensfla.com/documents/20702/30188280/20241231+Detail+by+County.pdf/7d7859c2-18a1-abf0-6a7e-b0dbdf9dfe8b
Commercial Non-Residential Wind-Only policies in force,"Miami-Dade County, FL",2024-12-31,624,policies,https://www.citizensfla.com/documents/20702/30188280/20241231+Detail+by+County.pdf/7d7859c2-18a1-abf0-6a7e-b0dbdf9dfe8b
Commercial Non-Residential Wind-Only total exposure,"Miami-Dade County, FL",2024-12-31,442066611,USD,https://www.citizensfla.com/documents/20702/30188280/20241231+Detail+by+County.pdf/7d7859c2-18a1-abf0-6a7e-b0dbdf9dfe8b
Commercial Non-Residential Wind-Only total premium,"Miami-Dade County, FL",2024-12-31,8815555,USD,https://www.citizensfla.com/documents/20702/30188280/20241231+Detail+by+County.pdf/7d7859c2-18a1-abf0-6a7e-b0dbdf9dfe8b
Commercial Residential Multiperil building count,"Miami-Dade County, FL",2024-12-31,1811,buildings,https://www.citizensfla.com/documents/20702/30188280/20241231+Detail+by+County.pdf/7d7859c2-18a1-abf0-6a7e-b0dbdf9dfe8b
Commercial Residential Multiperil policies in force,"Miami-Dade County, FL",2024-12-31,608,policies,https://www.citizensfla.com/documents/20702/30188280/20241231+Detail+by+County.pdf/7d7859c2-18a1-abf0-6a7e-b0dbdf9dfe8b
Commercial Residential Multiperil total exposure,"Miami-Dade County, FL",2024-12-31,5287228400,USD,https://www.citizensfla.com/documents/20702/30188280/20241231+Detail+by+County.pdf/7d7859c2-18a1-abf0-6a7e-b0dbdf9dfe8b
Commercial Residential Multiperil total premium,"Miami-Dade County, FL",2024-12-31,33970503,USD,https://www.citizensfla.com/documents/20702/30188280/20241231+Detail+by+County.pdf/7d7859c2-18a1-abf0-6a7e-b0dbdf9dfe8b
Commercial Residential Wind-Only building count,"Miami-Dade County, FL",2024-12-31,2138,buildings,https://www.citizensfla.com/documents/20702/30188280/20241231+Detail+by+County.pdf/7d7859c2-18a1-abf0-6a7e-b0dbdf9dfe8b
Commercial Residential Wind-Only policies in force,"Miami-Dade County, FL",2024-12-31,1116,policies,https://www.citizensfla.com/documents/20702/30188280/20241231+Detail+by+County.pdf/7d7859c2-18a1-abf0-6a7e-b0dbdf9dfe8b
Commercial Residential Wind-Only total exposure,"Miami-Dade County, FL",2024-12-31,12090690823,USD,https://www.citizensfla.com/documents/20702/30188280/20241231+Detail+by+County.pdf/7d7859c2-18a1-abf0-6a7e-b0dbdf9dfe8b
