metric,geography,as_of_date,value,unit,source_url
Commercial Non-Residential Wind-Only total exposure,"Miami-Dade County, FL",2026-06-30,170880554,USD,https://www.citizensfla.com/documents/20702/38830519/20260630+Detail+by+County.pdf/ca6d2c17-12d1-5bb7-501d-ba94995ef71c
Commercial Non-Residential Wind-Only total premium,"Miami-Dade County, FL",2026-06-30,2703950,USD,https://www.citizensfla.com/documents/20702/38830519/20260630+Detail+by+County.pdf/ca6d2c17-12d1-5bb7-501d-ba94995ef71c
Commercial Residential Multiperil building count,"Miami-Dade County, FL",2026-06-30,567,buildings,https://www.citizensfla.com/documents/20702/38830519/20260630+Detail+by+County.pdf/ca6d2c17-12d1-5bb7-501d-ba94995ef71c
Commercial Residential Multiperil policies in force,"Miami-Dade County, FL",2026-06-30,228,policies,https://www.citizensfla.com/documents/20702/38830519/20260630+Detail+by+County.pdf/ca6d2c17-12d1-5bb7-501d-ba94995ef71c
Commercial Residential Multiperil total exposure,"Miami-Dade County, FL",2026-06-30,1368991100,USD,https://www.citizensfla.com/documents/20702/38830519/20260630+Detail+by+County.pdf/ca6d2c17-12d1-5bb7-501d-ba94995ef71c
Commercial Residential Multiperil total premium,"Miami-Dade County, FL",2026-06-30,6851611,USD,https://www.citizensfla.com/documents/20702/38830519/20260630+Detail+by+County.pdf/ca6d2c17-12d1-5bb7-501d-ba94995ef71c
Commercial Residential Wind-Only building count,"Miami-Dade County, FL",2026-06-30,719,buildings,https://www.citizensfla.com/documents/20702/38830519/20260630+Detail+by+County.pdf/ca6d2c17-12d1-5bb7-501d-ba94995ef71c
Commercial Residential Wind-Only policies in force,"Miami-Dade County, FL",2026-06-30,428,policies,https://www.citizensfla.com/documents/20702/38830519/20260630+Detail+by+County.pdf/ca6d2c17-12d1-5bb7-501d-ba94995ef71c
Commercial Residential Wind-Only total exposure,"Miami-Dade County, FL",2026-06-30,1324428770,USD,https://www.citizensfla.com/documents/20702/38830519/20260630+Detail+by+County.pdf/ca6d2c17-12d1-5bb7-501d-ba94995ef71c
Commercial Residential Wind-Only total premium,"Miami-Dade County, FL",2026-06-30,11202095,USD,https://www.citizensfla.com/documents/20702/38830519/20260630+Detail+by+County.pdf/ca6d2c17-12d1-5bb7-501d-ba94995ef71c
Commercial total policies in force (CR-M+CR-W+CNR-M+CNR-W),"Miami-Dade County, FL",2026-06-30,1089,policies,https://www.citizensfla.com/documents/20702/38830519/20260630+Detail+by+County.pdf/ca6d2c17-12d1-5bb7-501d-ba94995ef71c
Personal Residential Multiperil building count,"Miami-Dade County, FL",2026-06-30,53175,buildings,https://www.citizensfla.com/documents/20702/38830519/20260630+Detail+by+County.pdf/ca6d2c17-12d1-5bb7-501d-ba94995ef71c
Personal Residential Multiperil policies in force,"Miami-Dade County, FL",2026-06-30,53175,policies,https://www.citizensfla.com/documents/20702/38830519/20260630+Detail+by+County.pdf/ca6d2c17-12d1-5bb7-501d-ba94995ef71c
Personal Residential Multiperil total exposure,"Miami-Dade County, FL",2026-06-30,9127820152,USD,https://www.citizensfla.com/documents/20702/38830519/20260630+Detail+by+County.pdf/ca6d2c17-12d1-5bb7-501d-ba94995ef71c
Personal Residential Multiperil total premium,"Miami-Dade County, FL",2026-06-30,97402285,USD,https://www.citizensfla.com/documents/20702/38830519/20260630+Detail+by+County.pdf/ca6d2c17-12d1-5bb7-501d-ba94995ef71c
Personal Residential Wind-Only building count,"Miami-Dade County, FL",2026-06-30,13186,buildings,https://www.citizensfla.com/documents/20702/38830519/20260630+Detail+by+County.pdf/ca6d2c17-12d1-5bb7-501d-ba94995ef71c
Personal Residential Wind-Only policies in force,"Miami-Dade County, FL",2026-06-30,13186,policies,https://www.citizensfla.com/documents/20702/38830519/20260630+Detail+by+County.pdf/ca6d2c17-12d1-5bb7-501d-ba94995ef71c
Personal Residential Wind-Only total exposure,"Miami-Dade County, FL",2026-06-30,7268893553,USD,https://www.citizensfla.com/documents/20702/38830519/20260630+Detail+by+County.pdf/ca6d2c17-12d1-5bb7-501d-ba94995ef71c
Personal Residential Wind-Only total premium,"Miami-Dade County, FL",2026-06-30,52466888,USD,https://www.citizensfla.com/documents/20702/38830519/20260630+Detail+by+County.pdf/ca6d2c17-12d1-5bb7-501d-ba94995ef71c
Personal residential total policies in force (multiperil + wind-only),"Miami-Dade County, FL",2026-06-30,66361,policies,https://www.citizensfla.com/documents/20702/38830519/20260630+Detail+by+County.pdf/ca6d2c17-12d1-5bb7-501d-ba94995ef71c
Total building count (all lines),"Miami-Dade County, FL",2026-06-30,68162,buildings,https://www.citizensfla.com/documents/20702/38830519/20260630+Detail+by+County.pdf/ca6d2c17-12d1-5bb7-501d-ba94995ef71c
Total insured value / exposure (all lines),"Miami-Dade County, FL",2026-06-30,19358406816,USD,https://www.citizensfla.com/documents/20702/38830519/20260630+Detail+by+County.pdf/ca6d2c17-12d1-5bb7-501d-ba94995ef71c
Total policies in force (all lines),"Miami-Dade County, FL",2026-06-30,67450,policies,https://www.citizensfla.com/documents/20702/38830519/20260630+Detail+by+County.pdf/ca6d2c17-12d1-5bb7-501d-ba94995ef71c
Total premium (all lines),"Miami-Dade County, FL",2026-06-30,171878292,USD,https://www.citizensfla.com/documents/20702/38830519/20260630+Detail+by+County.pdf/ca6d2c17-12d1-5bb7-501d-ba94995ef71c
Commercial Non-Residential Multiperil building count,"Miami-Dade County, FL",2026-07-31,142,buildings,https://www.citizensfla.com/documents/20702/38830519/20260731+Detail+by+County.pdf/805064a5-9cb6-aee8-f116-499fbfb77fe6
Commercial Non-Residential Multiperil policies in force,"Miami-Dade County, FL",2026-07-31,115,policies,https://www.citizensfla.com/documents/20702/38830519/20260731+Detail+by+County.pdf/805064a5-9cb6-aee8-f116-499fbfb77fe6
Commercial Non-Residential Multiperil total exposure,"Miami-Dade County, FL",2026-07-31,94047687,USD,https://www.citizensfla.com/documents/20702/38830519/20260731+Detail+by+County.pdf/805064a5-9cb6-aee8-f116-499fbfb77fe6
Commercial Non-Residential Multiperil total premium,"Miami-Dade County, FL",2026-07-31,1186421,USD,https://www.citizensfla.com/documents/20702/38830519/20260731+Detail+by+County.pdf/805064a5-9cb6-aee8-f116-499fbfb77fe6
Commercial Non-Residential Wind-Only building count,"Miami-Dade County, FL",2026-07-31,351,buildings,https://www.citizensfla.com/documents/20702/38830519/20260731+Detail+by+County.pdf/805064a5-9cb6-aee8-f116-499fbfb77fe6
Commercial Non-Residential Wind-Only policies in force,"Miami-Dade County, FL",2026-07-31,301,policies,https://www.citizensfla.com/documents/20702/38830519/20260731+Detail+by+County.pdf/805064a5-9cb6-aee8-f116-499fbfb77fe6
Commercial Non-Residential Wind-Only total exposure,"Miami-Dade County, FL",2026-07-31,161959554,USD,https://www.citizensfla.com/documents/20702/38830519/20260731+Detail+by+County.pdf/805064a5-9cb6-aee8-f116-499fbfb77fe6
Commercial Non-Residential Wind-Only total premium,"Miami-Dade County, FL",2026-07-31,2552010,USD,https://www.citizensfla.com/documents/20702/38830519/20260731+Detail+by+County.pdf/805064a5-9cb6-aee8-f116-499fbfb77fe6
Commercial Residential Multiperil building count,"Miami-Dade County, FL",2026-07-31,544,buildings,https://www.citizensfla.com/documents/20702/38830519/20260731+Detail+by+County.pdf/805064a5-9cb6-aee8-f116-499fbfb77fe6
Commercial Residential Multiperil policies in force,"Miami-Dade County, FL",2026-07-31,216,policies,https://www.citizensfla.com/documents/20702/38830519/20260731+Detail+by+County.pdf/805064a5-9cb6-aee8-f116-499fbfb77fe6
Commercial Residential Multiperil total exposure,"Miami-Dade County, FL",2026-07-31,1332162500,USD,https://www.citizensfla.com/documents/20702/38830519/20260731+Detail+by+County.pdf/805064a5-9cb6-aee8-f116-499fbfb77fe6
Commercial Residential Multiperil total premium,"Miami-Dade County, FL",2026-07-31,6519293,USD,https://www.citizensfla.com/documents/20702/38830519/20260731+Detail+by+County.pdf/805064a5-9cb6-aee8-f116-499fbfb77fe6
Commercial Residential Wind-Only building count,"Miami-Dade County, FL",2026-07-31,677,buildings,https://www.citizensfla.com/documents/20702/38830519/20260731+Detail+by+County.pdf/805064a5-9cb6-aee8-f116-499fbfb77fe6
Commercial Residential Wind-Only policies in force,"Miami-Dade County, FL",2026-07-31,405,policies,https://www.citizensfla.com/documents/20702/38830519/20260731+Detail+by+County.pdf/805064a5-9cb6-aee8-f116-499fbfb77fe6
Commercial Residential Wind-Only total exposure,"Miami-Dade County, FL",2026-07-31,1211576270,USD,https://www.citizensfla.com/documents/20702/38830519/20260731+Detail+by+County.pdf/805064a5-9cb6-aee8-f116-499fbfb77fe6
Commercial Residential Wind-Only total premium,"Miami-Dade County, FL",2026-07-31,10037173,USD,https://www.citizensfla.com/documents/20702/38830519/20260731+Detail+by+County.pdf/805064a5-9cb6-aee8-f116-499fbfb77fe6
Commercial total policies in force (CR-M+CR-W+CNR-M+CNR-W),"Miami-Dade County, FL",2026-07-31,1037,policies,https://www.citizensfla.com/documents/20702/38830519/20260731+Detail+by+County.pdf/805064a5-9cb6-aee8-f116-499fbfb77fe6
Personal Residential Multiperil building count,"Miami-Dade County, FL",2026-07-31,53315,buildings,https://www.citizensfla.com/documents/20702/38830519/20260731+Detail+by+County.pdf/805064a5-9cb6-aee8-f116-499fbfb77fe6
Personal Residential Multiperil policies in force,"Miami-Dade County, FL",2026-07-31,53315,policies,https://www.citizensfla.com/documents/20702/38830519/20260731+Detail+by+County.pdf/805064a5-9cb6-aee8-f116-499fbfb77fe6
Personal Residential Multiperil total exposure,"Miami-Dade County, FL",2026-07-31,9250427282,USD,https://www.citizensfla.com/documents/20702/38830519/20260731+Detail+by+County.pdf/805064a5-9cb6-aee8-f116-499fbfb77fe6
Personal Residential Multiperil total premium,"Miami-Dade County, FL",2026-07-31,98699928,USD,https://www.citizensfla.com/documents/20702/38830519/20260731+Detail+by+County.pdf/805064a5-9cb6-aee8-f116-499fbfb77fe6
Personal Residential Wind-Only building count,"Miami-Dade County, FL",2026-07-31,13001,buildings,https://www.citizensfla.com/documents/20702/38830519/20260731+Detail+by+County.pdf/805064a5-9cb6-aee8-f116-499fbfb77fe6
Personal Residential Wind-Only policies in force,"Miami-Dade County, FL",2026-07-31,13001,policies,https://www.citizensfla.com/documents/20702/38830519/20260731+Detail+by+County.pdf/805064a5-9cb6-aee8-f116-499fbfb77fe6
Personal Residential Wind-Only total exposure,"Miami-Dade County, FL",2026-07-31,7167018018,USD,https://www.citizensfla.com/documents/20702/38830519/20260731+Detail+by+County.pdf/805064a5-9cb6-aee8-f116-499fbfb77fe6
Personal Residential Wind-Only total premium,"Miami-Dade County, FL",2026-07-31,51717750,USD,https://www.citizensfla.com/documents/20702/38830519/20260731+Detail+by+County.pdf/805064a5-9cb6-aee8-f116-499fbfb77fe6
Personal residential total policies in force (multiperil + wind-only),"Miami-Dade County, FL",2026-07-31,66316,policies,https://www.citizensfla.com/documents/20702/38830519/20260731+Detail+by+County.pdf/805064a5-9cb6-aee8-f116-499fbfb77fe6
Total building count (all lines),"Miami-Dade County, FL",2026-07-31,68030,buildings,https://www.citizensfla.com/documents/20702/38830519/20260731+Detail+by+County.pdf/805064a5-9cb6-aee8-f116-499fbfb77fe6
Total insured value / exposure (all lines),"Miami-Dade County, FL",2026-07-31,19217191311,USD,https://www.citizensfla.com/documents/20702/38830519/20260731+Detail+by+County.pdf/805064a5-9cb6-aee8-f116-499fbfb77fe6
Total policies in force (all lines),"Miami-Dade County, FL",2026-07-31,67353,policies,https://www.citizensfla.com/documents/20702/38830519/20260731+Detail+by+County.pdf/805064a5-9cb6-aee8-f116-499fbfb77fe6
Total premium (all lines),"Miami-Dade County, FL",2026-07-31,170712575,USD,https://www.citizensfla.com/documents/20702/38830519/20260731+Detail+by+County.pdf/805064a5-9cb6-aee8-f116-499fbfb77fe6
