site_no,station_name,lat,lon,land_surface_alt_ft,land_surface_alt_datum,well_depth_ft,hole_depth_ft,aquifer_code,aquifer,national_aquifer_code,aquifer_type_code,datum,construction_date,huc,distance_from_AOI_center_km,inside_AOI,n_level_obs,period_of_record
252014080312801,G  -3338,25.3376162,-80.5242256,0,NAVD88,58,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,,03090206,59.85,N,0,
251855080283401,G  -3354,25.3117778,-80.4772222,1.2,NGVD29,8,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,,03090202,59.873,N,0,
252547080383501,G  -3110,25.4301133,-80.6428393,3,NAVD88,,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,,NAD83,,03090202,59.97,N,0,
251957080312801,G  -3339,25.3328942,-80.5242256,0,NAVD88,57,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,,03090206,60.287,N,0,
251949080313102,G  -1603,25.330672,-80.525059,4.78,NGVD29,60,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,,03090202,60.54,N,0,
252255080361101,NP - 100,25.3823371,-80.6028385,4.50,NGVD29,1333,,120FLRD,Floridan Aquifer System,S400FLORDN,,NAD83,19640624,03090202,60.814,N,0,
254642080482201,S  -1299,25.7789896,-80.8058979,23.6,NGVD29,11676,,125CDRK,,S400FLORDN,,NAD83,,03090202,61.421,N,0,
251902080312405,G  -3340,25.317617,-80.5231145,0,NAVD88,48,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,,03090206,61.652,N,0,
252007080335701,G  -3336,25.3378056,-80.5656389,4.5,NGVD29,38,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,,03090202,62.239,N,0,
251925080335701,G  -3337,25.3240058,-80.5656156,0,NAVD88,100,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,,03090202,63.471,N,0,
251922080340701,G  -1251,25.3210833,-80.56575,3.2,NGVD29,59,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,19650101,03090202,63.742,N,0,
251724080341401,G  -3353,25.2887987,-80.5690382,0.86,NGVD29,8,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,,03090202,66.869,N,0,
252820080505401,MO  - 215,25.4722222,-80.8483333,1,NAVD88,10.7,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,,NAD83,20121206,03090202,74.382,N,0,
02290829501,MO  -198,25.4679778,-80.8545278,1,NAVD88,32.4,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,,NAD83,,03090202,75.153,N,0,
02290829502,MO  -199,25.4679778,-80.8545278,1,NAVD88,10.1,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,,NAD83,,03090202,75.153,N,0,
251457080395801,"G  -3776.  USGS Observation Well in Everglades, FL",25.2525556,-80.6662611,0,NAVD88,28.15,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,,NAD83,200310,03090202,75.93,N,0,
251457080395802,G  -3777,25.2525556,-80.6662611,0,NAVD88,9.9,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,,NAD83,200310,03090202,75.93,N,0,
251241080385301,G  -3764,25.21,-80.6477778,0,NAVD88,12.77,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,,NAD83,20020130,03090202,78.587,N,0,
251241080385302,G  -3763,25.21,-80.6477778,0,NAVD88,22.4,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,,NAD83,,03090202,78.587,N,0,
